ČT1,ct1
Hitradio Osmdesatka,radio_hitradio_80
Hitradio Devadesátka,radio_hitradio_90
Hitradio Orion,radio_hitradio_orion
Rádio Blaník,radio_blanik
Rock Rádio,radio_rock_radio
Óčko,ocko
Óčko STAR,ockogold
Óčko Expres,ocko_express
Dorcel TV,DorceltvHD
Dorcel XXX,DorcelHD
Brazzers TV Europe,brazzers
Playboy TV,playboy
Reality Kings,realitykings
Leo TV,leo
X-mo,x-mo
Private HD,privatetv
Extasy,extasy
PornHub TV,pornohubtv
Redlight,redlight
Pervij kanal,russia_channel1
Dom Kino,dom_kino
Dom Kino Premium,dom_kino_premium
Vremya,vremya
Poekhali!,poehali
Muzika Pervogo,muzika_pervogo
Bobyor,bobyor
O!,telekanal_o
Telecafe,telecafe
Karusel,karousel
ČT1 HD,ct1hd
ČT2 HD,ct2hd
Déčko HD,ctdeckohd
ČT Sport HD,ct4sporthd
ČT Art HD,ctarthd
ČT24 HD,ct24hd
Seznam HD,seznamhd
Prima HD,primafamilyhd
Prima COOL HD,primacoolhd
Prima Love HD,primalovehd
Prima Zoom HD,primazoomhd
Prima Max HD,prima_maxhd
Arena sport 2 HD,slovak_sport2hd
TV Mňam HD,mnamtvhd
TV Mňau HD,mnauhd
